x,y
1.6648207023785857,3.0596905599712025
0.8378206777934663,2.4138141276862735
1.9125796354663704,1.2320250070492502
1.4247337391954331,1.3430180609696523
1.634355684205244,1.7738060169035021
1.7128487139652586,1.1177974417469752
2.4450098771654294,1.6959686311962634
1.5181096367971374,2.3711655578550994
2.766281404310608,2.100358319473486
2.678654899435404,2.412577634114342
2.6271954776593582,1.513441428970768
2.2404713385907393,1.4830425530566114
1.479668973442093,1.413673481852601
3.580610683989544,2.1830898408597053
2.8247891037413155,2.9086021196517042
1.8525016670336545,3.3309398141485334
1.1143036567304088,2.108207590059617
1.5383709284507106,2.525543680257754
2.278649321169327,1.378714014470006
1.8462907668100013,2.487956089183973
1.7015410292083828,1.96047119401337
2.0860920315236973,2.5266961002940294
2.5958639377839186,2.139217566066645
2.3628486754239444,1.811361284561167
2.1880976363677185,2.261675603275799
1.6237030230578047,2.1454295371921908
2.188055818091015,1.8927758345183316
2.4892728615257926,2.2171932680326845
2.1310909152969635,2.604749366540541
1.8903681123704155,1.8280129540882475
2.1569263173675735,1.2537700757509844
1.9960187206437054,3.1766603706179275
2.7251365946400306,1.8532773069633477
0.9193946194286371,2.0689258848192127
2.1337123407632084,1.7498371259584748
2.172736660032322,1.422612992141779
2.2102402039755202,1.8143785869602604
2.5359452514217207,1.8032825268193367
2.031947407681165,1.761619308826365
2.8472722551059837,2.2280285966685964
2.626921997666929,1.534596980756069
2.1756529841563212,1.8029336967544771
2.6844773458046554,2.0014476054210233
1.568249787674991,2.765887058455265
1.5502051778419907,2.3307874299191456
2.073629103265549,3.1853026295097795
1.7291751797403736,2.466703073283547
1.7357070286836522,2.7077728871683875
2.485343475298391,1.9766413716978146
1.0250614929300372,2.1196957507850573
8.368233795032921,3.79320562575355
7.675640034769827,3.2345326103522547
8.39816810077585,3.504356253146398
7.727072247527341,2.605084261933981
8.063045205967311,3.0417896096216293
7.474882858811717,2.344221364556286
8.356408216707925,2.8925878020416733
8.372283961705353,3.7920373451958227
8.274254160753863,2.8947711965536085
7.790793173974268,2.7576178578733233
8.287758552398856,2.6656967184727947
7.968141958522665,2.1908173551104655
7.919816575341234,4.038057857959963
9.044742115363938,3.039247238509345
7.619128152696719,4.277337091593838
8.243384884719003,2.319728268695311
7.694692982908783,2.887551167821772
8.865537330831339,2.3784852938270014
7.810959545506865,1.820617048799589
8.109352796153184,2.7741529582697395
8.371848067328763,2.7909096180065105
7.793801843963897,2.7553763045672373
8.383431940121143,3.3107021408615775
8.514687471576785,3.152507636300749
7.5963744648403475,3.4298777180494167
7.627028808209303,3.3080422425241305
7.831949435466621,3.0008289335397222
7.521289762766114,2.726660712255952
7.831960625817184,3.0736231573159496
8.079790517390085,2.3344274826615905
8.370170994437197,2.2928328135949054
8.669784535176625,3.534723691868556
